CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
230185,IDENTIFICACION DE ANTICUERPOS CON PANEL EN MEDIO SALINO O ALBUMINOSO     ,1-230185,IDENTIFICACION ANTICUERPO PANEL SALINO                
,230185,7-236096,IDENTIFICACION DE ANTICUERPOS IRREGULARES         
230186,INDICE OPSONOCITOFACIGO                           ,1-230186,INDICE OPSONOCITOFACIGO                               
230187,INMUNOELECTROFORESIS                              ,1-230187,INMUNOELECTROFORESIS                                  
230188,LATEX GLOBULINA GAMMA                             ,1-230188,LATEX GLOBULINA GAMMA                                 
230189,LATEX LE                                         ,1-230189,LATEX L E                                             
230190,LAZO. PRUEBA DEL                                  ,1-230190,LAZO  PRUEBA DEL                                     
230191,LEUCINOAMINOPEPTIDASA. TEST DE                    ,1-230191,LEUCINOAMINOPEPTIDASA  TEST DE                       
230192,LEUCOAGLUTINACION. INHIBICION DE                  ,1-230192,LEUCOAGLUTINACION  INHIBICION DE                     
230193,LEUCOAGLUTININAS. METODO DIRECTO                  ,1-230193,LEUCOAGLUTININAS  METODO DIRECTO                     
230194,LEUCOCITOS. RESISTENCIA DE LOS                     ,1-230194,LEUCOCITOS RESISTENCIA DE LOS                        
230195,LEUCOPRECIPITINAS                                 ,1-230195,LEUCOPRECIPITINAS                                     
230196,MAGNESIO -SANGRE-                                 ,1-230196,MAGNESIO -SANGRE-                                     
230197,"MEDULOGRAMA, MIELOGRAMA                           ",1-230197,MEDULOGRAMA. MIELOGRAMA                               
,230197,7-236081,MEDULOGRAMAS                                      
230198,MONONUCLEOSIS INFECCIOSA. REACCION PARA MONOTEST               ,1-230198,MONONUCLEOSIS INFECC.REACC.MONOTEST                   
230199,PARASITOS HEMATICOS                               ,1-230199,PARASITOS HEMATICOS                                   
230201,PAUL BUNELL. REACCION DE                          ,1-230201,PAUL BUNELL  REACCION DE                             
230202,PEROXIDASAS,,
230202,PEROXIDASAS,1-230202,PEROXIDASAS                                       
230203,PLAQUETAS. RECUENTO DE                            ,1-230203,PLAQUETAS  RECUENTO DE                               
230204,"PLASMA RECALCIFICADO, TIEMPO DE                   ",1-230204,PLASMA RECALCIFICADO  TIEMPO DE                      
230205,PORFIRINAS -ORINA-                                ,1-230205,PORFIRINAS -ORINA-                                    
230206,"PDF - PRODUCTO DEGRADACION FIBRINOGENO, FIBRINA -              ",1-230206,PDF PRODUCTO DEGRADACION FIBRINOGENO                  
230207,PROACTIVADOR PLASMINOGENO                         ,1-230207,PROACTIVADOR PLASMINOGENO                             
230208,"PROTROMBINA -WARE, SEEGERS-                       ",1-230208,PROTROMBINA -WARE  SEEGERS-                          
230209,"PROTROMBINA, CONSUMO DE                           ",1-230209,PROTROMBINA  CONSUMO DE                              
230210,"PROTROMBINA, TIEMPO DE QUICK                    ",1-230210,PROTROMBINA  TIEMPO DE -QUICK-                       
,230210,7-239036,QUICK CORRECCION CON PN                           
230211,RECUENTO Y FORMULA                                ,1-230211,RECUENTO Y FORMULA                                    
230212,"REFFHUS, CURVA DE                                 ",1-230212,REFFHUS  CURVA DE                                    
230213,RH,,
230213,RH,1-230213,RH                                                
230214,RH FACTOR C - MAYUSCULA -                           ,1-230214,RH FACTOR C -MAYUSCULA-                               
230215,RH FACTOR C - MINUSCULA -                           ,1-230215,RH FACTOR C -MINUSCULA-                               
230216,RH FACTOR D - MAYUSCULA -                           ,1-230216,RH FACTOR D -MAYUSCULA-                               
230217,RH FACTOR E - MAYUSCULA -                           ,1-230217,RH FACTOR E -MAYUSCULA-                               
230218,RH FACTOR E - MINUSCULA -                           ,1-230218,RH FACTOR E -MINUSCULA-                               
230219,RETICULOCITOS                                     ,1-230219,RETICULOCITOS                                         
230220,SIA. TEST DE ,,
230220,SIA. TEST DE ,1-230220,"SIA, TEST DE                                      "
230221,SICKLE CELLS. INDUCCION QUIMICA                   ,1-230221,SICKLE CELLS. INDUCCION QUIMICA                       
230222,"SIDEROFILINA, CAPACIDAD DE SATURACION DE LA               ",1-230222,SIDEROFILINA CAPACIDAD DE SATURACION                 
230223,"SULFATO PROTAMINA, PRUEBA DE GELIFICACION              ",1-230223,SULFATO PROTAMINA PRUEBA GELIFICACIO                 
230224,"TROMBINA, PRUEBA DE LA GENERACION DE LA     ",1-230224,TROMBINA PRUEBA DE LA GENERACION DE                  
230225,"TROMBINA, TIEMPO DE                               ",1-230225,TROMBINA  TIEMPO DE                                  
230226,"TROMBOPLASTINA, PRUEBA DE LA GENERACION DE (Biggs y Douglas)            ",1-230226,TROMBOPLASTINA PRUEBA DE LA GENERACI                 
230227,"TROMBOPLASTINA, PRUEBA DE LA GENERACION DE (Biggs y Douglas) SUSTITUYENDO CADA REACTIVO, SUERO, PLASMA, PLAQUETAS Y SUSTRATO        ",1-230227,TROMBOPLASTINA PRUEBA DE LA GENERACI                 
230228,"TROMBOPLASTINA, PRUEBA DE LA GENERACION SIMPLIFICADA (Hicks, Pitney)              ",1-230228,TROMBOPLASTINA  PRUEBA DE LA GENERAC                 
230229,"TROMBOPLASTINA, TIEMPO DE (PARCIAL)              ",1-230229,TROMBOPLASTINA  TIEMPO DE -PARCIAL-                  
230230,TROMBO. TEST DE OWEWN                              ,1-230230,TROMBO TEST DE OWEWN                                  
230231,TROMBOELASTOGRAMA                                 ,1-230231,TROMBOELASTOGRAMA                                     
230232,XENODIAGNOSTICO -ESTUDIO COMPLETO-                ,1-230232,XENODIAGNOSTICO -ESTUDIO COMPLETO-                    
230234,TRANSPLANTE DE MEDULA OSEA AUTOLOGO ADULTO,,
230235,TRASPLANTE AUTOLOGO DE MEDULA OSEA PEDIATRICO     ,7-237107,TRASPLANTE AUTOLOGO DE MEDULA OSEA PEDIATRICO         
230238,TRASPLANTE ALOGENICO DE DONANTE HAPLOIDENTICO MEDULA OSEA ADULTO,7-237001,TRASPLANTE ALLOGENICO DE DONANTE HAPLOIDENTICO        
,230238,7-237004,TRASPLANTE HAPLOIDENTICO MEDULA OSEA ADULTO       
230239,TRASPLANTE ALOGENICO DE DONANTE HAPLOIDENTICO MEDULA OSEA PEDIATRICO         ,7-237003,TRASPLANTE HAPLOIDENTICO MEDULA OSEA PED.             
230240,TRASPLANTE ALOGENICO DE MEDULA OSEA CON DONANTE DE BANCO  ,,
230241,TRASPLANTE ALOGENICO DE CELULAS PROGENITORAS HEMATOPOYETICAS RELACIONADAS,7-237101,TRASP.ALOGENICODE CELULAS PROGENITORAS HEMATOP.REL    
,230241,7-237002,TRASP.ALLOGENICO DE MEDULA OSEA CORDON UMBILICAL  
,230241,7-237105,REC.Y CRIOP.CELULAS PROGENIT.SANG.CORDON UMBILICAL
,230241,7-237106,TRASPLANTE HAPLOIDENTICO DE CPH                   
230242,TRASPLANTE ALOGENICO DE CELULAS PROGENITORAS HEMATOPOYETICAS NO RELACIONADAS,7-237102,TRASP.ALOGENICO DE CELULAS PROGENIT.HEMAT.NO REL.     
230243,TRASPLANTE AUTOLOGO DE CELULAS PROGENITORAS HEMATOPOYETICAS ADULTOS,7-237103,TRASP.AUTOLOGO DE CELULAS PROGENIT.HEMATOPOYETICAS    
230245,RECOLECCION Y/O CRIOPRESERVACION DE CELULAS PROGENITORAS HEMATOPOYETICAS PARA TRASPLANTE DE MEDULA OSEA ,7-237104,REC.Y/O CRIOP.DE CELULAS PROG.HEMAT.TX MEDULA OSEA    
230301,PUNCION ASPIRATIVA DE MEDULA OSEA Y MEDULOGRAMA,7-239065,PUNCION ASPIRATIVA MEDULA OSEA                        
230401,FROTIS SANGUINEO                                  ,7-235041,FROTIS SANGUINEO                                      
230402,METABOLISMO DEL HIERRO                            ,7-236088,METABOLISMO DEL HIERRO                                
230403,EST.DE COAGULACION COMPLETO,7-236091,DOSAJE DE INHIBIDORES DE LA COAGULACION               
230404,ESTUDIO DE FUNCIONALISMO PLAQUETARIO              ,7-236092,ESTUDIO DE FUNCIONALISMO PLAQUETARIO                  
230405,INDICE INTERANCIONAL DE COAGULACION               ,7-236093,INDICE INTERANCIONAL DE COAGULACION                   
230406,COMPLEJOS SOLUBLES DE FIBRINA                     ,7-239059,COMPLEJOS SOLUBLES DE FIBRINA                         
230407,PRUEBA DE LA DESMOPRESINA,,
230407,PRUEBA DE LA DESMOPRESINA,7-235026,PRUEBA DE LA DESMOPRESINA                         
230408,PRUEBA AT3 (SUSTANCIA CROMATOGRAFIA)            ,7-239013,PRUEBA  AT3 (SUSTANCIA CROMATOGRAFIA)                 
230409,PRUEBA AT3 INMUNOLOGICA                         ,7-239014,PRUEBA  AT3  INMUNOLOGICA                             
230410,PRUEBA CURVA DE DILUCION DE F7 F9                 ,7-239016,PRUEBA CURVA DE DILUCION DE F7 F9                     
230411,PRUEBA DE ACTIVIDAD FIBRONOLITICA EN PLASMA DE FIB,7-239017,PRUEBA DE ACTIVIDAD FIBRONOLITICA EN PLASMA DE FIB    
230412,PRUEBA DE ADP O ATP INTRAPLAQUETARIO              ,7-239018,PRUEBA DE ADP O ATP INTRAPLAQUETARIO                  
,230412,7-239038,REACCION DE LIBERACION DE ATP                     
230413,PRUEBA DE AGREGACION PLAQUETARIA CON ACIDO ARAQUID,7-239019,PRUEBA DE AGREGACION PLAQUETARIA CON ACIDO ARAQUID    
230414,PRUEBA DE AGREGACION PLAQUETARIA CON COLAGENO O RI,7-239020,PRUEBA DE AGREGACION PLAQUETARIA CON COLAGENO O RI    
230415,PRUEBA DE DOSAJE DE TROMBOXANOS                   ,7-239023,PRUEBA DE DOSAJE DE TROMBOXANOS                       
230416,DOSAJE DE PRECALICREINA PLASMATICA                                     ,7-239005,PRECALICREINA                                         
230417,TITULACION DE INHIBIDOR FV3-F9                    ,7-239044,TITULACION DE INHIBIDOR FV3-F9                        
230425,LEUCOFERESIS LINFOCITOFERESIS,,
24.,24. HEMOTERAPIA,CELDA VACÍA,
240101,"TRANSFUSION SANGRE TOTAL,  POR UNIDAD HASTA 500 cc           ",1-240101,TRANSFUS.SANGRE TOTAL P/UNID. 500 CC                 
,240101,7-249009,SEROLOGIA DEL RECEPTOR GLOBAL                     
240102,"TRANSFUSION DE PLASMA,  POR UNIDAD DE HASTA 300 cc               ",1-240102,TRANSFUS.PLASMA P/UNID.DE 300 CC                     
240103,TRANSFUSION DE HEMATIES SEDIMENTADOS POR UNIDAD DE HASTA 300 cc         ,1-240103,TRANSFUSION DE HEMATIES SEDIMENTADOS                  
240104,TRANSFUSION GLOBULOS ROJOS LAVADOS POR UNIDAD DE HASTA 300 cc          ,1-240104,TRANSFUSION GLOBULOS ROJOS LAVADOS                    
240105,PLASMAFERESIS O ERITROFERESIS CON PROCESAMIENTO DE HASTA 500 cc DE SANGRE TOTAL                ,1-240105,PLASMAFERESIS O ERITROFERESIS                         
240106,TRANSFUSION DE SANGRE SIN LEUCOCITOS CON O SIN PLAQUETAS POR UNIDAD DE HASTA 500 cc         ,1-240106,TRANSFUSION DE SANGRE SIN LEUCOCITOS                  
240107,TRANSFUSION DE PLAQUETAS Y/O LEUCOCITOS PROVENIENTES DE HASTA 500 cc DE SANGRE    ,1-240107,TRANSFUSION PLAQUETAS Y/O LEUCOCITOS                  
240108,EXANGUINEO - TRANSFUSION POR LA PRIMERA.  UNIDAD DE HASTA 500 CM3    ,1-240108,EXANGUINEO-TRANSFUSION 1A UNIDAD HASTA 500 CM3        
240109,EXANGUINEO - TRANSFUSION UNIDADES SUBSIGUIENTES DE 500 cc O FRACCION,1-240109,EXANGUINEO-TRANSFUSION UNIDADES +500CM3 O FRACCION    
240110,TRANSFUSION FETAL INTRA-UTERO  (Incluye paracentesis fetal intra-utero) POR SESION          ,1-240110,TRANSFUSION FETAL INTRA-UTERO                         
240111,SANGRIA POR RECOLECCION CON EQUIPO AL VACIO PARA DX DE POLIGLOBULIA,1-240111,SANGRIA RECOLECCION EQUIPO AL VACIO                   
240112,TRANSFUSION INTRAAMNIOTICA                        ,1-240112,TRANSFUSION INTRAAMNIOTICA                            
240113,TRANSFUSION DE CRIOPRECIPITADOS G A H  PROVENIENTES DE 500 cc DE SANGRE   ,1-240113,TRANSFUSION CRIOPRECIPITADOS G A H                    
240114,V.D.R.L. EN DADOR                                 ,1-240114,V.D.R.L. EN DADOR                                     
240115,HUDDLESSON DE DADOR                               ,1-240115,HUDDLESSON DE DADOR                                   
240116,CHAGAS LATEX EN DADOR                             ,1-240116,CHAGAS LATEX EN DADOR                                 
240117,CHAGAS FIJACION DEL COMPLEMENTO EN DADOR              ,1-240117,CHAGAS FIJACION COMPLEMENTO EN DADOR                  
240118,CHAGAS HEMOAGLUTINACION EN DADOR                  ,1-240118,CHAGAS HEMOAGLUTINACION EN DADOR                      
240119,ANTIGENO DE HEPATITIS B EN DADOR                  ,1-240119,ANTIGENO DE HEPATITIS B EN DADOR                      
240120,"ANTICUERPOS ANTI VIH (METODO ELISA), EN DADOR        ",1-240120,ANTICUERPOS ANTI VIH (METOD.ELISA)                    
240121,"ANTICUERPOS ANTI VIH (METODO DE AGLUTINACION DE PARTICULAS EN GELATINA), EN DADOR              ",1-240121,ANTICUERPOS ANTI VIH (MET.AGLUTINA.)                  
240122,ANTI HTLV 1 Y 2 POR ELISA,7-249001,ELISA 2 TLV 1Y2                                       
,240122,7-249002,ELISA ANTICORE                                    
,240122,7-249003,ELISA ANTIGENO P 24 HIV EN DADOR  Y  RECEPTOR     
240123,ELISA CITOMEGALOVIRUS                             ,7-249004,ELISA CITOMEGALOVIRUS                                 
240124,INFUSION DE ALBUMINA HUMANA ,,
240125,INFUSION DE LINFOCITOS,,
240126,HEMODILUCION POR POLIGLOBULIA                     ,7-249005,HEMODILUCION POR POLIGLOBULIA                         
,OTROS DE HEMOTERAPIA,CELDA VACÍA,
240201,AUTOTRANSFUSION AMBULATORIA  (cualquier tecnica)                           ,7-240201,AUTOTRANSFUSION                                       
240202,RECUPERACION DE SANGRE. AUTOTRANSFUSION INTRAQUIRURGICA  (cualquier tecnica)                           ,7-249007,RECUPERACION DE SANGRE INTRAOPERATORIA CON EQUIPO     
,240202,7-249008,RECUPERACION DE SANGRE INTRAOPERATORIA SIN EQUIPO 
241004,AFERESIS DE GLOBULOS ROJOS                        ,7-241004,AFERESIS DE GLOBULOS ROJOS                            
241005,PLASMAFERESIS CON SEPARADOR CELULAR TIPO HAEMONETICS O SIMILAR,7-241005,PLASMAFERESIS CON SEPARADOR CELULAR TIPO HEMONETIC    
,241005,7-245042,PLAMAFERESIS COVID 19                             
241006,AFERESIS DE PLAQUETAS (PLAQUETOFERESIS)                                   ,7-241006,PLAQUETOFERESIS                                       
241101,ULTRAFILTRACION (CUALQUIER FILTRO)                          ,7-241101,ULTRAFILTRACION                                       
241201,TRANSPLANTE DE MEDULA OSEA - CRIOPRESERVACION -   ,7-241201,TRANSPLANTE DE MEDULA OSEA - CRIOPRESERVACION -       
,241201,7-246002,CRIOPRESERVACION DE MEDULA OSEA                   
241202,TRANSPLANTE DE MEDULA OSEA AUTOLOGO               ,7-241202,TRANSPLANTE DE MEDULA OSEA AUTOLOGO                   
241203,TRANSPLANTE DE MEDULA OSEA ALOGENICO              ,7-241203,TRANSPLANTE DE MEDULA OSEA ALOGENICO                  
241204,TRASPLANTE DE PRECURSORES HEMATOPOYÉTICOS,,
241205,IRRADIACION DE HEMOCOMPONENTES,,
25.,25. REHABILITACION MEDICA,CELDA VACÍA,
250101,FISIOTERAPIA POR SESION              ,1-250101,AGENTES FISICOS  FISIOTERAPIA                        
,250101,7-255023,TRATAMIENTO RESPIRATORIO EN AMBULATORIO           
250102,KINESIOTERAPIA POR SESION       ,1-250102,KINESIOTERAPIA. MASAJES  MOVILIZACION                
250102,KINESIOTERAPIA POR SESION       ,7-255063,MODULO ESPECIALIDAD EN FKT CAT. C                 
250102,KINESIOTERAPIA POR SESION       ,7-255009,REHABILITACION DE LA DEGLUCION                    
,250102,7-255011,MEDIA JORNADA MODULO (KINESIOLOGIA)               
,250102,7-255012,TRATAMIENTO COMPLETO (FKT + LASER Y/O MAGNETO)    
,250102,7-255013,FISIOKINESIOTERAPIA (F.K.T.)                      
,250102,7-255018,HIDROTERAPIA                                      
,250102,7-255017,BALNEOTERAPIA                                     
,250102,7-255058,ESTIMULACION VISUAL POR SESION                    
,250102,7-255010,RPG REHABILITACION POSTURAL GLOBAL (KINESIOLOGIA) 
250103,TERAPIA OCUPACIONAL POR SESION       ,1-250103,TERAPIA OCUPACIONAL.P/SESION P/BENEF                  
250104,REHABILITACION DEL LENGUAJE POR SESION                    ,1-250104,REHABILITACION DEL LENGUAJE.                          
250105,PILONES PARA AMPUTADOS. ALINEACION DINAMICA               ,1-250105,PILONES P/AMPUTADOS ALINEA.DINAMICA                  
250106,KINESIOTERAPIA/FISIOTERAPIA A DOMICILIO (INCLUYE USO DE AGENTES FISICOS Y MAGNETOTERAPIA),1-250106,KINESIOTERAPIA/FISIOTERAPIA A DOMICILIO               
,250106,7-255024,TRATAMIENTO RESPIRATORIO EN DOMICILIO             
,250106,7-804006,FONOAUDIOLOGIA DOMICILIARIA                       
250107,REHABILITACION VESTIBULAR - POR SESION  ,7-250107,REHABILITACION VESTIBULAR - CAT BASICA                
,250107,7-250108,REHABILITACION VESTIBULAR - CAT A                 
,250107,7-250109,REHABILITACION VESTIBULAR - CAT B                 
,250107,7-250110,REHABILITACION VESTIBULAR - CAT C                 
250111,DRENAJE LINFATICO,7-255016,DRENAJE LINFATICO (CASOS ONCOLOGICOS)                 
250111,DRENAJE LINFATICO,7-250016,DRENAJE LINFATICO
250112,MAGNETOTERAPIA,7-259003,MAGNETOTERAPIA                                        
250113,LASERTERAPIA EN KINESIOLOGIA POR SESION,,
250113,LASERTERAPIA EN KINESIOLOGIA POR SESION,7-369018,LASERTERAPIA PARA TRATAMIENTO LOCAL DE ENFERMEDAD
250114,REHABILITACION ISOCINETICA POR SESION,,
250114,REHABILITACION ISOCINETICA POR SESION,7-255004,REHABILITACION ISOCINETICA                        
250114,REHABILITACION ISOCINETICA POR SESION,7-255008,EVALUACION FONIATRICA                             
250119,EVALUACIÓN Y REHABILITACION FONIÁTRICA POR SESION,,
250120,TEST CYBEX,,
250121,REHABILITACION DEL TRASTORNO DE ARTICULACION DEL HABLA POR SESION,,
250121,REHABILITACION DEL TRASTORNO DE ARTICULACION DEL HABLA POR SESION,7-255082,REHABILITACION DE ARTICULACION TEMPOROMANDIBULAR  
250122,REHABILITACION DE LA DEGLUCIÓN Y TRASTORNOS OROFACIALES (FONOESTOMATOLOGIA) POR SESION,,
250122,REHABILITACION DE LA DEGLUCIÓN Y TRASTORNOS OROFACIALES (FONOESTOMATOLOGIA) POR SESION,7-255079,REHABILITACION DE LA DEGLUCION A DOMICILIO
250123,ESTIMULACION Y REHABILITACION AUDITIVA POR SESION,,
250124,REHABILITACION PISO PELVIANO (incluye 10 sesiones),,
255005,ESTIMULACION TEMPRANA POR SESION (sin cud),7-331013,ESTIMULACION TEMPRANA                                 
255005,ESTIMULACION TEMPRANA POR SESION (sin cud),7-255027,TERAPIA OCUPACIONAL A DOMICILIO - CAPITAL         
255005,ESTIMULACION TEMPRANA POR SESION (sin cud),7-255028,TEST CYBEX                                        
255015,RPG - REEDUCACION POSTURAL GLOBAL,7-255010,RPG REHABILITACION POSTURAL GLOBAL (KINESIOLOGIA)     
26.,26. MEDICINA NUCLEAR,CELDA VACÍA,
260101,CURVA DE CAPTACION TIROIDEA - 3 DETERMINACIONES              ,1-260101,CURVA CAPTACION TIROIDEA - 3 DETERM                   
260102,ESTUDIO COMPLETO DE LA FUNCION TIROIDEA CON IODO 131 - 3 DETERMINACIONES,1-260102,EST.COMPLETO DE FUNCION TIROIDEA CON I 131. 3 DET.    
260103,EXCRECION URINARIA DE IODO 131                    ,1-260103,EXCRECION URINARIA DE IODO 131                        
260104,PRUEBA DE INHIBICION -TEST WERNER-                ,1-260104,PRUEBA DE INHIBICION -TEST WERNER-                    
260105,PRUEBA DE ESTIMULACION -TEST QUERIDO-                 ,1-260105,PRUEB.ESTIMULACION -TEST QUERIDO-                     
260106,VIDA MEDIA EFECTIVA (INCLUYE MATERIAL RADIACTIVO)              ,1-260106,VIDA MEDIA EFECT.INCLU.MATERIAL DESC                  
260107,DOSIS TERAPEUTICA EN TIROTOXICOSIS (INCLUYE VIDA MEDIA Y CONTROL DEL PACIENTE POR 3 MESES)           ,1-260107,DOSIS TERAPEUTICA EN TIROTOXICOSIS                    
260108,TRATAMIENTO DE CARCINOMA DE TIROIDES (INCLUYE ESTUDIO DOSIMETRICO Y CONTROL DEL PACIENTE POR 3 MESES)   ,1-260108,TRATAMIENTO DE CARCINOMA DE TIROIDES                  
260109,DETECCION TROMBOSIS CON FIBRINOGENO MARCADO                ,1-260109,DETECCION TROMBOSIS C/FIBRINOGENOS                    
260110,DETECCION DE SUPURACIONES ABDOMINALES CON FIBRINOGENO MARCADO,1-260110,DETECCION SUPURACION ABDOMINAL FIBRINOGENO MARCADO    
260111,RADIORRENOGRAMA ISOTOPICO SIMPLE.                 ,1-260111,RADIORRENOGRAMA ISOTOPICO SIMPLE.                     
260112,RADIORRENOGRAMA CON CLEARENCE RENAL.              ,1-260112,RADIORRENOGRAMA CON CLEARENCE RENAL.                  
,260112,7-269029,RADIORENOGRAMA CON DPTA Y CALCULO DE FILTRADO GLOM
260113,FILTRADO GLOMERULAR.                              ,1-260113,FILTRADO GLOMERULAR.                                  
260114,FLUJO PLASMATICO RENAL EFECTIVO.                  ,1-260114,FLUJO PLASMATICO RENAL EFECTIVO.                      
260115,FLUJO SANGUINEO TOTAL RENAL                       ,1-260115,FLUJO SANGUINEO TOTAL RENAL                           
260116,VOLUMEN MINUTO CARDIACO.                          ,1-260116,VOLUMEN MINUTO CARDIACO.                              
260117,CLEARENCE TISULAR Y/O MUSCULAR                    ,1-260117,CLEARENCE TISULAR Y/O MUSCULAR                        
260118,FLUJO CEREBRAL.                                   ,1-260118,FLUJO CEREBRAL.                                       
260119,DETERMINACION DE AGUA CORPORAL TOTAL              ,1-260119,DETERMINACION DE AGUA CORPORAL TOTAL                  
260120,DETERMINACION DE AGUA EXTRACELULAR.               ,1-260120,DETERMINACION DE AGUA EXTRACELULAR.                   
260121,DETERMINACION DE SODIO TOTAL INTERCAMBIABLE Y ESPACIO DE SODIO      ,1-260121,DETERMINACION DE SODIO TOTAL / ESPACIO SODIO          
260122,DETERMINACION DE POTASIO TOTAL INTERCAMBIABLE         ,1-260122,DETERMINACION DE POTASIO TOTAL                        
260123,DETERMINACION DEL VOLUMEN SANGUINEO TOTAL GLOBULAR Y PLASMATICO CON RADIOISOTOPOS,1-260123,DETER.VOL.SANGUINEO TOTAL GLOBULAR C/RADIOISOTOPO     
260124,VIDA MEDIA DE HEMATIES. RELACION HEPATO-ESPLENICA              ,1-260124,VIDA MEDIA HEMATIES.HEPATO-ESPLENICA                  
260125,VIDA MEDIA DE HEMATIES.                           ,1-260125,VIDA MEDIA DE HEMATIES.                               
260126,VIDA MEDIA DE LEUCOCITOS Y/O PLAQUETAS               ,1-260126,VIDA MEDIA LEUCOCITOS Y/O PLAQUETAS                   
260127,TIEMPO MEDIO PLASMATICO DEL FE59.                 ,1-260127,TIEMPO MEDIO PLASMATICO DEL FE59.                     
260128,CURVA DE UTILIZACION DEL FE59.                    ,1-260128,CURVA DE UTILIZACION DEL FE59.                        
260129,TIEMPO MEDIO PLASMATICO Y CURVA UTILIZACION DEL FE59              ,1-260129,TIEM.MED.PLASMATICO CURVA UTILI.FE59                  
260130,DIAGNOSTICO DE ANEMIA PERNICIOSA CON  VITAMINA B12  CO60 (TEST DE XHILLING)   ,1-260130,DIAGNOSTICO DE ANEMIA PERNICIOSA C/VIT                
260131,DOSIS TERAPEUTICA PARA TRATAMIENTO DE POLICITEMIA VERA,1-260131,DOSIS TERAPEUTICA PARA TRATAMIENTO POLICITEMIA        
260132,ESTUDIO DE ABSORCION CON GRASAS MARCADAS CON RADIOISOTOPOS               ,1-260132,ESTUDIO DE ABSORCION CON GRASAS                       
260133,ESTUDIO DE ABSORCION Y EXCRECION DE GRASAS MARCADAS CON RADIOISOTOPOS,1-260133,ESTUD.ABSOR.EXCRECION GRASA MARCADA C/RADIOISOTOPO    
260134,RELACION PERFUSION VENTILACON CON XE133               ,1-260134,RELACI.PERFUSION VENTILACON C/XE133                   
260135,TRATAMIENTO INTRAARTICULAR CON P32- AU198 COLOIDAL (INCLUYE ARTROCENTESIS),,
260135,TRATAMIENTO INTRAARTICULAR CON P32- AU198 COLOIDAL (INCLUYE ARTROCENTESIS),1-260135,TRATAMIENTO NTRAARTICULAR CON P32-AU198 COLOIDAL  
260136,TRATAMIENTO PALIATIVO CON P32 DE CANCER DE MAMA CON METASTASIS OSEAS            ,1-260136,TRATAMIENTO PALIATIVO CON P32                         
260137,TRATAMIENTO CON P32 U AU198 POR DISEMINACION TUMORAL EN CAVIDADES SEROSAS              ,1-260137,TRAT.CON P32 U AU198 P/DISEM.TUMORAL                  
,260137,7-269015,CINETICA CELULAR TUMORAL                          
,CENTELLOGRAFIA A CABEZA MOVIL - LINEAL -,CELDA VACÍA,
260201,CENTELLOGRAMA DE CEREBRO - DOS POSICIONES -              ,1-260201,CENTELLOGRAMA DE CEREBRO DOS POSICIO                  
260202,CENTELLOGRAMA CEREBRO - POSICION SUBSIGUIENTE -     ,1-260202,CENTELLOGRAMA CEREBRO-POSICION SUBSIGUIENTE           
260203,CENTELLOGRAFIA DE MEDULA OSEA.                    ,1-260203,CENTELLOGRAFIA DE MEDULA OSEA.                        
260204,MIELOGRAFIA ISOTOPICA                            ,1-260204,MIELOGRAFIA ISOTOPICA.                                
260205,CISTERNOGRAFIA ISOTOPICA,1-260205,CISTERNOGRAFIA ISOTOPICA-S/HONORARIO-CABEZAL MOVIL    
260206,FISTULOGRAFIA ISOTOPICA DEL L.C.R.                ,1-260206,FISTULOGRAFIA ISOTOPICA DEL L.C.R.                    
260207,VENTRICULOGRAFIA ISOTOPICA.                       ,1-260207,VENTRICULOGRAFIA ISOTOPICA.                           
260208,CENTELLOGRAMA OSEO - UN AREA -                     ,1-260208,CENTELLOGRAMA OSEO -UN AREA-.                         
260209,CENTELLOGRAMA OSEO -AREAS SUBSIGUIENTES (Incluye hasta 6 regiones)                         ,1-260209,AREAS SUBSIGUIENTES.                                  
260210,CENTELLOGRAFIA DE ARTICULACIONES (INCLUYE ARTROCENTESIS) ,1-260210,CENTELLOGRAFIA DE ARTICULACIONES C/ ARTROCENTESIS     
260211,CENTELLOGRAMA DE TIROIDES.                        ,1-260211,CENTELLOGRAMA DE TIROIDES.                            
260212,CENTELLOGRAMA TIROIDES Y MEDIASTINO               ,1-260212,CENTELLOGRAMA TIROIDES Y MEDIASTINO                   
260213,BARRIDO TOTAL PARA CARCINOMA TIROIDES             ,1-260213,BARRIDO TOTAL PARA CARCINOMA TIROIDE                  
260213,BARRIDO TOTAL PARA CARCINOMA TIROIDES             ,7-265037,RASTREO TOTAL CON SESTAMIBI-TC 99M O MIBI         
,260213,7-269007,BARRIDO TOTAL CARCINOMA TIROIDEO                  
,260213,7-269008,BARRIDO TOTAL CARCINOMA TIROIDEO I-131            
260214,CENTELLOGRAMA DE PARATIROIDES.                    ,1-260214,CENTELLOGRAMA DE PARATIROIDES.                        
260215,CENTELLOGRAMA DE GLANDULAS SALIVALES              ,1-260215,CENTELLOGRAMA DE GLANDULAS SALIVALES                  
260216,CENTELLOGRAMA PULMON - DOS POSICIONES -               ,1-260216,CENTELLOGRAMA PULMON DOS POSICIONES                   
260217,CENTELLOGRAMA HEPATICO - DOS POSICIONES -               ,1-260217,CENTELLOGRAMA HEPATICO 2 POSICIONES                   
260218,CENTELLOGRAMA DEL POOL VASCULAR HEPATICO              ,1-260218,CENTELLOGRAMA POOL VASCULAR HEPATICO                  
